Fund Ticker,Security Identifier,Identifier,Shares,Weight,Name,Contract Expiry Date,Sector,$ Value,Date
DGL,GCG1,,875.00,100.066,COMEX Gold 100 Troy Ounces Future,02/24/2021,Precious Metals,"169,190,000.00",10/09/2020
DGL,825252885,AGPXX ,"84,066,975.28",49.721,STIT - Government & Agency Portfolio,,Collateral,"84,066,975.28",10/09/2020
DGL,9127963K3,,"30,000,000.00",17.741,United States Treasury Bill,12/17/2020,Collateral,"29,995,531.20",10/09/2020
DGL,912796TU3,,"20,000,000.00",11.827,United States Treasury Bill,12/03/2020,Collateral,"19,997,591.60",10/09/2020
DGL,46138G888,CLTL ,"165,000.00",10.321,Invesco Treasury Collateral ETF,,Collateral,"17,450,400.00",10/09/2020
DGL,9127962Z1,,"15,000,000.00",8.871,United States Treasury Bill,11/12/2020,Collateral,"14,998,999.95",10/09/2020
