Fund Ticker,Security Identifier,Identifier,Shares,Weight,Name,Contract Expiry Date,Sector,$ Value,Date
DBS,SIK1,,225.00,100.035,COMEX Silver Future,05/26/2021,Precious Metals,"28,572,750.00",10/09/2020
DBS,825252885,AGPXX ,"12,161,505.67",42.578,STIT - Government & Agency Portfolio,,Collateral,"12,161,505.67",10/09/2020
DBS,9127963J6,,"7,000,000.00",24.504,United States Treasury Bill,12/10/2020,Collateral,"6,999,041.42",10/09/2020
DBS,9127963K3,,"6,000,000.00",21.003,United States Treasury Bill,12/17/2020,Collateral,"5,999,106.24",10/09/2020
DBS,9127962Z1,,"2,000,000.00",7.002,United States Treasury Bill,11/12/2020,Collateral,"1,999,866.66",10/09/2020
