ticker,name,ISIN,CUSIP,Inception Date,Gross Expense Ratio,* Net Expense Ratio,Asset Class,Distribution Frequency,Primary Exchange,Primary Index,Primary Index Ticker,infer
SIMS,SPDR® S&P Kensho Intelligent Structures ETF,US78468R6971,78468R697,Dec 26 2017,0.45%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Kensho Intelligent Infrastructure Index,SAPKINFRA,spdr
KOMP,SPDR® S&P Kensho New Economies Composite ETF,US78468R6484,78468R648,Oct 22 2018,0.20%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Kensho New Economies Composite Index,SAPKNEX,spdr
HAIL,SPDR® S&P Kensho Smart Mobility ETF,US78468R6898,78468R689,Dec 26 2017,0.45%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Kensho Smart Transportation Index,SAPKMOVE,spdr
MDY,SPDR® S&P MIDCAP 400® ETF Trust,US78467Y1073,78467Y107,May 04 1995,0.23%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P MidCap 400 Index,JMDY,spdr
MMTM,SPDR® S&P® 1500 Momentum Tilt ETF,US78468R7052,78468R705,Oct 24 2012,0.12%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 1500 Positive Momentum Tilt Index,SPCPMTUT,spdr
VLU,SPDR® S&P® 1500 Value Tilt ETF,US78464A1280,78464A128,Oct 24 2012,0.12%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 1500 Low Valuation Tilt Index,SPCLVTUT,spdr
MDYG,SPDR® S&P® 400 Mid Cap Growth ETF,US78464A8210,78464A821,Nov 08 2005,0.15%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P MidCap 400 Growth Index,SPTRMG,spdr
MDYV,SPDR® S&P® 400 Mid Cap Value ETF,US78464A8392,78464A839,Nov 08 2005,0.15%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P MidCap 400 Value Index,SPTRMV,spdr
SPYX,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF,US78468R7961,78468R796,Nov 30 2015,0.25%,0.20%,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 Fossil Fuel Free Index,SP5F3UN,spdr
SLY,SPDR® S&P® 600 Small Cap ETF,US78464A8137,78464A813,Nov 08 2005,0.15%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P SmallCap 600 Index,SPTRSMCP,spdr
SLYG,SPDR® S&P® 600 Small Cap Growth ETF,US78464A2015,78464A201,Sep 25 2000,0.15%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P SmallCap 600 Growth Index,SPTRSG,spdr
SLYV,SPDR® S&P® 600 Small Cap Value ETF,US78464A3005,78464A300,Sep 25 2000,0.15%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P SmallCap 600 Value Index,SPTRSV,spdr
XAR,SPDR® S&P® Aerospace & Defense ETF,US78464A6313,78464A631,Sep 28 2011,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Aerospace & Defense Select Industry Index,SPSIADTR,spdr
KBE,SPDR® S&P® Bank ETF,US78464A7972,78464A797,Nov 08 2005,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Banks Select Industry Index,SPSIBKT,spdr
XBI,SPDR® S&P® Biotech ETF,US78464A8707,78464A870,Jan 31 2006,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Biotechnology Select Industry Index,SPSIBITR,spdr
KCE,SPDR® S&P® Capital Markets ETF,US78464A7717,78464A771,Nov 08 2005,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Capital Markets Select Industry Index,SPSICMT,spdr
GXC,SPDR® S&P® China ETF,US78463X4007,78463X400,Mar 20 2007,0.59%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,S&P China BMI Index,STBCCNU,spdr
SDY,SPDR® S&P® Dividend ETF,US78464A7634,78464A763,Nov 08 2005,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P High Yield Dividend Aristocrats Index,SPHYDATR,spdr
GMF,SPDR® S&P® Emerging Asia Pacific ETF,US78463X3017,78463X301,Mar 20 2007,0.49%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,S&P Asia Pacific Emerging BMI Index,STBMAEU,spdr
EWX,SPDR® S&P® Emerging Markets Small Cap ETF,US78463X7562,78463X756,May 12 2008,0.65%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,S&P Emerging Markets Under USD2 Billion Index,SPBMKSUT,spdr
WDIV,SPDR® S&P® Global Dividend ETF,US78463X4593,78463X459,May 29 2013,0.40%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Global Dividend Aristocrats Index,SPGDAAN,spdr
GII,SPDR® S&P® Global Infrastructure ETF,US78463X8552,78463X855,Jan 25 2007,0.40%,-,Alternative,Semi-Annually,NYSE ARCA EXCHANGE,S&P Global Infrastructure Index,SPGTINNT,spdr
GNR,SPDR® S&P® Global Natural Resources ETF,US78463X5418,78463X541,Sep 13 2010,0.40%,-,Alternative,Semi-Annually,NYSE ARCA EXCHANGE,S&P Global Natural Resources Index,SPGNRUT,spdr
XHE,SPDR® S&P® Health Care Equipment ETF,US78464A5810,78464A581,Jan 26 2011,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Health Care Equipment Select Industry Index,SPSIHETR,spdr
XHS,SPDR® S&P® Health Care Services ETF,US78464A5737,78464A573,Sep 28 2011,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Health Care Services Select Industry Index,SPSIHPTR,spdr
XHB,SPDR® S&P® Homebuilders ETF,US78464A8889,78464A888,Jan 31 2006,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Homebuilders Select Industry Index,SPSIHOTR,spdr
