ticker,name,ISIN,CUSIP,Inception Date,Gross Expense Ratio,* Net Expense Ratio,Asset Class,Distribution Frequency,Primary Exchange,Primary Index,Primary Index Ticker,infer
XLSR,SPDR® SSGA US Sector Rotation ETF,US78470P4081,78470P408,Apr 02 2019,0.70%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 Index,SPTR,spdr
SMLV,SPDR® SSGA US Small Cap Low Volatility Index ETF,US78468R8878,78468R887,Feb 20 2013,0.12%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,SSGA US Small Cap Low Volatility Index,SSGASLVT,spdr
PSK,SPDR® Wells Fargo® Preferred Stock ETF,US78464A2924,78464A292,Sep 16 2009,0.45%,-,Equity,Monthly,NYSE ARCA EXCHANGE,Wells Fargo Hybrid and Preferred Securities Aggregate Index,WAGG,spdr
XLC,The Communication Services Select Sector SPDR® Fund,US81369Y8527,81369Y852,Jun 18 2018,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Communication Services Select Sector Index,IXCNTR,spdr
XLY,The Consumer Discretionary Select Sector SPDR® Fund,US81369Y4070,81369Y407,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Consumer Discretionary Select Sector Index,IXYTR,spdr
XLP,The Consumer Staples Select Sector SPDR® Fund,US81369Y3080,81369Y308,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Consumer Staples Select Sector Index,IXRTR,spdr
XLE,The Energy Select Sector SPDR® Fund,US81369Y5069,81369Y506,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Energy Select Sector Index,IXETR,spdr
XLF,The Financial Select Sector SPDR® Fund,US81369Y6059,81369Y605,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Financial Select Sector Index,IXMTR,spdr
XLV,The Health Care Select Sector SPDR® Fund,US81369Y2090,81369Y209,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Health Care Select Sector Index,IXVTR,spdr
XLI,The Industrial Select Sector SPDR® Fund,US81369Y7040,81369Y704,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Industrial Select Sector Index,IXITR,spdr
XLB,The Materials Select Sector SPDR® Fund,US81369Y1001,81369Y100,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Materials Select Sector Index,IXBTR,spdr
XLRE,The Real Estate Select Sector SPDR® Fund,US81369Y8600,81369Y860,Oct 07 2015,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Real Estate Select Sector Index,IXRETR,spdr
XLK,The Technology Select Sector SPDR® Fund,US81369Y8030,81369Y803,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Technology Select Sector Index,IXTTR,spdr
XLU,The Utilities Select Sector SPDR® Fund,US81369Y8865,81369Y886,Dec 16 1998,0.13%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Utilities Select Sector Index,IXUTR,spdr
